contents,model_names,skip_content,attention,no_brand,id,method,url,total_pages
Táo Đỏ Sấy Khô,"Gói 100gr, 100gr, 100gam",dont,dont,0,tao_do,may_love,https://shopee.vn/you_may_also_like/968599922/23132922413/100630?pageNumber=2&upstream=,100
Thuốc Nhuộm ĐEN TUYỀN,"Dưỡng ít – 65k, Không",dont,dont,0,thuoc_nhuom,search,https://shopee.vn/search?keyword=thu%E1%BB%91c%20nhu%E1%BB%99m%20t%C3%B3c%20m%C3%A0u%20%C4%91en%20tuy%E1%BB%81n&page=1,100
Thuốc Nhuộm ĐEN TUYỀN,"Dưỡng ít – 65k, Không",dont,dont,0,thuoc_nhuom,may_love,https://shopee.vn/you_may_also_like/261570329/7644505684/100630?pageNumber=2&upstream=,100
Hirano và Kagiura tập 1,Hirano và Kagiura tập 1,dont,dont,0,truyen,search,https://shopee.vn/mall/search?keyword=hirano%20v%C3%A0%20kagiura%20-%20t%E1%BA%ADp%201&page=0,100
Hirano và Kagiura tập 1,Hirano và Kagiura tập 1,dont,dont,0,truyen,may_love,https://shopee.vn/you_may_also_like/40470612/25861754496/100630?pageNumber=1&upstream=,100
len milk cotton,"2-, 02, Hồng nhạt, hồng",dont,dont,0,len,search,https://shopee.vn/search?keyword=len%20milk%20cotton%20h%C3%A0n%20qu%E1%BB%91c&page=1,100
len milk cotton,"2-, 02, Hồng nhạt, hồng",dont,dont,0,len,may_love,https://shopee.vn/you_may_also_like/69013932/23248825689/100630?pageNumber=2&upstream=,100
