contents,model_names,skip_content,attention,no_brand,id,method,url,total_pages
xúc xích,"xanh lá, màu xanh lá, lá",dont,dont,0,moc_khoa_bup_be,search,https://shopee.vn/search?keyword=m%C3%B3c%20kh%C3%B3a%20b%C3%BAp%20b%C3%AA%20l%C3%B4ng%20x%C3%B9&page=1,100
xúc xích,"xanh lá, màu xanh lá, lá",dont,dont,0,moc_khoa_bup_be,may_love,https://shopee.vn/you_may_also_like/214403294/21586714190/100630?pageNumber=2&upstream=,100
"Kem Che Khuyết Điểm Mf250, Kem Che Khuyết Điểm 3 màu","Kem Che Khuyết Điểm Mf250, Kem Che Khuyết Điểm 3 màu",dont,dont,0,kem_che_khuyet_diem,search,https://shopee.vn/search?keyword=kem%20che%20khuy%E1%BA%BFt%20%C4%91i%E1%BB%83m%20mf250&page=1,100
"Kem Che Khuyết Điểm Mf250, Kem Che Khuyết Điểm 3 màu","Kem Che Khuyết Điểm Mf250, Kem Che Khuyết Điểm 3 màu",dont,dont,0,kem_che_khuyet_diem,may_love,https://shopee.vn/you_may_also_like/1032571140/25558056657/100630?pageNumber=2&upstream=,100
"ví cầm tay ba ngăn vintage, ví 3 ngăn","trắng, màu trắng, white",dont,dont,0,vi_cam_tay,search,https://shopee.vn/mall/search?keyword=v%C3%AD%20c%E1%BA%A7m%20tay%20ba%20ng%C4%83n%20phong%20c%C3%A1ch%20vintage&page=1,100
"ví cầm tay ba ngăn vintage, ví 3 ngăn","trắng, màu trắng, white",dont,dont,0,vi_cam_tay,may_love,https://shopee.vn/you_may_also_like/619025900/22536770777/100630?pageNumber=2&upstream=,100
