contents,model_names,skip_content,attention,no_brand,id,method,url,total_pages
"Kem chống nắng kiềm dầu Sunplay, Kem chống nắng Sunplay tím","Hồng Milk 50g (VN), hồng",dont,dont,0,kem_chong_nang,search,https://shopee.vn/search?keyword=sunplay%20skin%20aqua%20tone%20up%20uv&page=1,100
"Kem chống nắng kiềm dầu Sunplay, Kem chống nắng Sunplay tím","Hồng Milk 50g (VN), hồng",dont,dont,0,kem_chong_nang,may_love,https://shopee.vn/you_may_also_like/281458245/4347760608/100630?pageNumber=2&upstream=,100
tán dạng giọt nước,"MÚT TÁN, Bông tán",dont,dont,0,mut_tan_kem,search,https://shopee.vn/search?keyword=m%C3%BAt%20t%C3%A1n%20n%E1%BB%81n%20d%E1%BA%A1ng%20gi%E1%BB%8Dt%20n%C6%B0%E1%BB%9Bc&page=1,100
tán dạng giọt nước,"MÚT TÁN, Bông tán",dont,dont,0,mut_tan_kem,may_love,https://shopee.vn/you_may_also_like/1116360976/24753382915/100630?pageNumber=2&upstream=,100
