link,title,variation
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-ĐEN-TỰ-NHIÊN-Đen-Tuyền-Hạ-Nền-Trên-Mọi-Nền-Tóc-Hanahairs-tặng-kèm-găng-tay-trợ-nhuộm-tiện-lợi.-i.853668476.20941587136?sp_atk=21485144-f6d6-4a0b-94b0-b183f9814835&xptdk=21485144-f6d6-4a0b-94b0-b183f9814835,"Thuốc Nhuộm Tóc Màu ĐEN TỰ NHIÊN , Đen Tuyền | Hạ Nền Trên Mọi Nền Tóc Hanahairs tặng kèm găng tay trợ nhuộm tiện lợi.",Dưỡng Ít 65k|||Không
https://shopee.vn/-NHUỘM-ĐEN-Thuốc-Nhuộm-Tóc-Màu-Đen-Tuyền-Lên-Từ-Mọi-Nền-Tóc-Hạ-Nền-Minzihair-Minzihair-HCM-i.389293200.6881157234?sp_atk=ea280ec8-5d6a-4b34-ac7a-254d9d857be7&xptdk=ea280ec8-5d6a-4b34-ac7a-254d9d857be7,"Yêu thích[NHUỘM ĐEN] Thuốc Nhuộm Tóc Màu Đen Tuyền - Lên Từ Mọi Nền Tóc - Hạ Nền - Minzihair, Minzihair HCM",DƯỠNG COLLAGEN
https://shopee.vn/Combo-Thuốc-Nhuộm-Tóc-MÀU-ĐEN-TUYỀN-Nhuộm-Tại-Nhà-Không-Cần-Tẩy-(Tặng-Kèm-Oxi-Găng-Tay-HDSD)-i.1000145743.22843691499?sp_atk=508ff71c-0aea-4c74-a64d-47d418fbcf92&xptdk=508ff71c-0aea-4c74-a64d-47d418fbcf92,Yêu thíchCombo Thuốc Nhuộm Tóc MÀU ĐEN TUYỀN Nhuộm Tại Nhà Không Cần Tẩy (Tặng Kèm Oxi+Găng Tay+HDSD),Combo+Dưỡng
https://shopee.vn/Thuốc-Nhuộm-Tóc-màu-Đen-Tự-Nhiên-Đen-Than-Chì-Đen-Tuyền-Không-tẩy-i.821597954.23460683611?sp_atk=b3154c11-63ca-4626-b7d8-1e62a60f44e6&xptdk=b3154c11-63ca-4626-b7d8-1e62a60f44e6,"Thuốc Nhuộm Tóc màu Đen Tự Nhiên, Đen Than Chì, Đen Tuyền - Không tẩy",Đen tự nhiên|||Collagen dưỡng
https://shopee.vn/Thuốc-nhuộm-tóc-màu-đen-tuyền-Molokai-siêu-dưỡng-thuốc-nhuộm-tóc-tại-nhà-Pretty-Valley-Store-i.240287148.7825083773?sp_atk=b7e32706-99e4-4c06-9fcd-ec683e9d1128&xptdk=b7e32706-99e4-4c06-9fcd-ec683e9d1128,"Yêu thích+Thuốc nhuộm tóc màu đen tuyền Molokai siêu dưỡng, thuốc nhuộm tóc tại nhà - Pretty Valley Store",Dưỡng nhiều|||KHÔNG
https://shopee.vn/Thuốc-nhuộm-tóc-MÀU-ĐEN-TUYỀN-KHÔNG-TẨY-i.133514218.23402246410?sp_atk=be1297b4-f276-47e9-b954-a66b4358bd1e&xptdk=be1297b4-f276-47e9-b954-a66b4358bd1e,Thuốc nhuộm tóc MÀU ĐEN TUYỀN/KHÔNG TẨY,no_variation
https://shopee.vn/Thuốc-nhuộm-tóc-tại-nhà-màu-Đen-Tuyền-không-tẩy-tặng-kèm-trợ-nhuộm-oxy-bao-tay-và-mũ-chùm-ủ-tóc-i.307975.23645311360?sp_atk=f3954107-ca9f-47ca-9d33-2dfb20c12e7f&xptdk=f3954107-ca9f-47ca-9d33-2dfb20c12e7f,"Thuốc nhuộm tóc tại nhà màu Đen Tuyền không tẩy tặng kèm trợ nhuộm oxy, bao tay và mũ chùm ủ tóc",no_variation
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-Đen-Tuyền-(Tặng-Kèm-Oxy-Chụp-Tóc-Bao-Tay)-i.33973720.11979675272?sp_atk=919bae1b-9488-4cda-8f11-84e5fbe86fb8&xptdk=919bae1b-9488-4cda-8f11-84e5fbe86fb8,Yêu thích+Thuốc Nhuộm Tóc Màu Đen Tuyền (Tặng Kèm Oxy + Chụp Tóc + Bao Tay),Dưỡng Nhiều
https://shopee.vn/Thuốc-Nhuộm-Tóc-Nam-Màu-ĐEN-TUYỀN-Không-Tẩy-Chenglovehair-Chenglovehairs-i.975537143.21478170271?sp_atk=05b25f6e-85bb-4d1e-9fd0-dbaa83f5a509&xptdk=05b25f6e-85bb-4d1e-9fd0-dbaa83f5a509,"Thuốc Nhuộm Tóc Nam Màu ĐEN TUYỀN Không Tẩy | Chenglovehair, Chenglovehairs",Dưỡng ít - 65k|||Không
https://shopee.vn/Thuốc-Nhuộm-Tóc-Màu-ĐEN-TUYỀN-LÊN-TỪ-MỌI-NỀN-TÓC-haniehair-i.969018237.23939214726?sp_atk=4f13cb7b-d962-4f77-9e0a-ba47cc3aa92d&xptdk=4f13cb7b-d962-4f77-9e0a-ba47cc3aa92d,Thuốc Nhuộm Tóc Màu ĐEN TUYỀN - LÊN TỪ MỌI NỀN TÓC  | haniehair,Dưỡng Full dungcu
